"seqname","accession","tax_id","species","is_type"
"LC259081","LC259081",1825924,"Barley virus G","no"
"KY038943","KY038943",1972995,"Tobacco virus 2","no"
"KY364847","KY364847",1913125,"Cowpea polerovirus 2","no"
"KY364846","KY364846",1913124,"Cowpea polerovirus 1","no"
"KY617826","KY617826",91753,"Cucurbit aphid-borne yellows virus","no"
"LT559484","LT559484",698400,"Pepper yellows virus","no"
"LT559483","LT559483",698400,"Pepper yellows virus","no"
"KX856972","KX856972",1963256,"African eggplant yellowing virus","no"
"KX856971","KX856971",1963256,"African eggplant yellowing virus","no"
"KU315178","KU315178",1462681,"Pepo aphid-borne yellows virus","no"
"KU315177","KU315177",1462681,"Pepo aphid-borne yellows virus","no"
"KF359947","KF359947",312295,"Cotton leafroll dwarf virus","no"
"KF359946","KF359946",312295,"Cotton leafroll dwarf virus","no"
"AB903038","AB903038",12042,"Beet western yellows virus","no"
"AB903037","AB903037",12042,"Beet western yellows virus","no"
"AB903036","AB903036",12042,"Beet western yellows virus","no"
"AB903035","AB903035",12042,"Beet western yellows virus","no"
"AB903034","AB903034",12042,"Beet western yellows virus","no"
"AB903033","AB903033",12042,"Beet western yellows virus","no"
"AB903032","AB903032",12042,"Beet western yellows virus","no"
"KY052793","KY052793",1856642,"Maize yellow mosaic virus","no"
"KX073467","KX073467",12045,"Potato leafroll virus","no"
"LC198684","LC198684",12042,"Beet western yellows virus","no"
"KU726091","KU726091",131083,"Turnip yellows virus","no"
"KU726090","KU726090",131083,"Turnip yellows virus","no"
"KU586456","KU586456",12045,"Potato leafroll virus","no"
"KU586455","KU586455",12045,"Potato leafroll virus","no"
"KU586454","KU586454",12045,"Potato leafroll virus","no"
"KX599154","KX599154",1913124,"Cowpea polerovirus 1","no"
"LC192169","LC192169",1913024,"White clover mottle virus","no"
"LC126054","LC126054",909827,"Pepper vein yellows virus","no"
"LC126035","LC126035",909827,"Pepper vein yellows virus","no"
"LC126033","LC126033",909827,"Pepper vein yellows virus","no"
"LC126031","LC126031",909827,"Pepper vein yellows virus","no"
"EU717546","EU717546",12045,"Potato leafroll virus","no"
"EU717545","EU717545",12045,"Potato leafroll virus","no"
"EU313202","EU313202",12045,"Potato leafroll virus","no"
"AF473561","AF473561",12042,"Beet western yellows virus","no"
"AF453394","AF453394",12045,"Potato leafroll virus","no"
"AF453393","AF453393",12045,"Potato leafroll virus","no"
"AF453392","AF453392",12045,"Potato leafroll virus","no"
"AF453391","AF453391",12045,"Potato leafroll virus","no"
"AF453390","AF453390",12045,"Potato leafroll virus","no"
